                   Hin-Har                     English
5172                                                 माहण                                                       great
5173                                                group                                                       group
5174                                                 बडना                                                        grow
5175                                                   था                                                         Had
5176                                                  हाथ                                                        hand
5177                                                 करडा                                                        hard
5178                                                    ह                                                        have
5179                                                    ह                                                         has
5180                                                   वो                                                          he
5181                                                   सर                                                        head
5182                                               सुनाया                                                        hear
5183                                                  मदद                                                        help
5184                                                  आडे                                                        here
5185                                                  ऊचा                                                        high
5186                                                 ताता                                                         hot
5187                                                   घर                                                       house
5188                                                कु कर                                                         how
5189                                                   मै                                                           I
5190                                                जवचार                                                        Idea
5191                                              नूयू भी                                                          If
5192                                                जरूरी                                                   Important
5193                                                    म                                                          In
5194                                                    ह                                                          Is
5195                                                  चीज                                                        Item
5196                                                 abhi                                                        Just
5197                                                राखीए                                                        Keep
5198                                                दयालु                                                        Kind
5199                                               जपछाणा                                                        Know
5200                                                 धरती                                                        Land
5201                                                  बडा                                                       Large
5202                                                 आखरी                                                        Last
5203                                                बाद म                                                       Later
5204                                                सीखणा                                                       Learn
5205                                                छोडीए                                                       Leave
5206                                                 बाया                                                        Left
5207                                                 चालो                                                         Let
5208                                                 चीठी                                                      Letter
5209                                               जींदगी                                                        Life
5210                                                रोशनी                                                       Light
5211                                                 जीसा                                                        Like
5212                                                   लन                                                        Line
5213                                                प्रची                                                        List
5214                                                 थोडा                                                      Little
5215                                                 जीणा                                                        Live
5216                                               लाम्बा                                                        Long
5217                                                देजखए                                                        Look
5218                                                 खोया                                                        Lose
5219                                                 main                                                        Main
5220                                              बनानाणा                                                        Make
5221                                                 आदमी                                                         Man
5222                                                  घणे                                                        Many
5223                                                sakna                                                         May
5224                                                मेरती                                                          Me
5225                                                 मतलब                                                        Mean
5226                                                जमलणा                                                        Meet
5227                                                बीच म                                                         Mid
5228                                                  दधू                                                        Milk
5229                                                 गलती                                                     Mistake
5230                                               ज्यादा                                                        More
5231                                               सूबेरे                                                     Morning
5232                                                 मााँ                                                      Mother
5233                                                  पाड                                                    Mountain
5234                                                  चाल                                                        Move
5235                                                  बोत                                                        Much
5236                                                थोबड़ा                                                       mouth
5237                                               नास्टी                                                        nose
5238                                                 दीदे                                                        eyes
5239                                                 दांद                                                       teeth
5240                                                 ठुड़ी                                                        chin
5241                                                बासळा                                                    backdisk
5242                                                   आथ                                                        hand
5243                                                आँगळी                                                      finger
5244                                                कुहणी                                                       elbow
5245                                                 कोणी                                                       elbow
5246                                                 गोड़ा                                                        Knee
5247                                                टाकणा                                                       ankle
5248                                                 पट्ट                                                       thigh
5249                                                  पाँ                                                         leg
5250                                                 सातल                                                       thigh
5251                                                जिगड़ा                                                       liver
5252                                               डिग्गी                                                 sixpack abs
5253                                                 बोडर                                                         cow
5254                                                   गऊ                                                         cow
5255                                                   गौ                                                         cow
5256                                                  बलध                                                          ox
5257                                                बाछड़ा                                                 calf of cow
5258                                                  बछि                                                 calf of cow
5259                                                खोलड़ा                                                     Buffalo
5260                                                 खोला                                                     Buffalo
5261                                                 झोटा                                                   masculine
5262                                                काटडू                                                        calf
5263                                                काटड़ा                                                        calf
5264                                                  टेम                                                        time
5265                                             तड़के तड़क                                                     morning
5266                                                दफैरी                                                        noon
5267                                                 साँझ                                                     evening
5268                                                  रैत                                                       night
5269                                                 सीळै                                                soft weather
5270                                                  अभि                                                        Just
5271                                                 सकना                                                         May
5272                                               एड्डी                                                         Heel
5273                                                आबल\n                                                        More
5274                                                  आड                                                   for hiding
5275                                                आड़ै                                                        Here 
5276                                                 आढळ                                                    cover-up 
5277                                               आहलणा                                                        Nest 
5278                                                  आहो                                                         Yes
5279                                                आख्यर                                                     Extreme
5280                                          सुण ले झकोई                                                   Excuse me
5281                                           जाण दे उसन                                                  Let him go
5282                                                तावळा                                                        Fast
5283                                                चिकणा                                                      Smooth
5284                                                लुगाई                                                      Ladies
5285                                           सुलटा दिया                                                    Resolved
5286                                                सपोड़ा                                                    Slapping
5287                                               डिग ले                                                     Lets go
5288                                           गोली हो ले                                                          Go
5289                                                  बहु                                                        Wife
5290                                             अड़े नै आ                                                   Come here
5291                                             नु का नु                                                Same to same
5292                                                  घाम                                                    Sunlight
5293                                              पड़ ज्या                                                    Go There
5294                                                  घणा                                                        Very
5295                                                डांगर                                                      Animal
5296                                                 बलैद                                                          Ox
5297                                                 मूसा                                                         Rat
5298                                                 गंडा                                                   Sugarcane
5299                                          बावळी तरेड्                                                    Confused
5300                                                 झोला                                                      Basket
5301                                                  खाट                                                         Bed
5302                                                बारणा                                                        Gate
5303                                               गुद्दी                                                        Neck
5304                                                 गोडा                                                        Knee
5305                                                आंगळी                                                      Finger
5306                                            आंख दुखनी                                                   sore eyes
5307                                             एल्डगोजा                                                       Flute
5308                                                बालाड                                                          Ox
5309                                                  बलध                                                        Bull
5310                                            बालदाकिसु                                                 Swear by ox
5311                                               बलियां                                                    Baniyaan
5312                                              बाराफ़ी                                                   ice-cream
5313                                                बीजना                                                    Hand fan
5314                                                भरोटा                                                       bajra
5315                                               बुखारी                                                       Broom
5316                                               बुखारी                                                       fever
5317                                                 चमसा                                                Rainy season
5318                                               चिपकली                                                      Lizard
5319                                              चुचुंदर                                                         Bat
5320                                             च्यानहनी                                               Funeral place
5321                                                  डाक                                                        Jump
5322                                               दम्हुई                                              Double headed 
5323                                                 दंडो                                                       Teeth
5324                                               डैंडरी                                                Childs teeth
5325                                               डांगार                                                Animal stock
5326                                                 धीड़                                                    Drainage
5327                                                 धीरा                                                    Headlice
5328                                                धिदाय                                                         Eye
5329                                                 धूमा                                                       Smoke
5330                                                 डूबो                                                       grass
5331                                                 गाली                                                       abuse
5332                                                गावडी                                                         Cow
5333                                                  गभा                                                         Old
5334                                                गबसुआ                                                  Safety pin
5335                                                 गंडे                                                   Sugarcane
5336                                               जिएंडो                                                        Ball
5337                                                 घैती                                                        Neck
5338                                                 गूथी                                                        Ring
5339                                                 गोसा                                                   Dungcake 
5340                                                 जादा                                                     winters
5341                                                जर्सी                                                     sweater
5342                                                 झोटी                                                     Buffalo
5343                                               झोट्टा                                                Male buffalo
5344                                                 जंगल                                                      forest
5345                                              जुर्राब                                                       Socks
5346                                                 कागो                                                        Crow
5347                                                खुरमा                                                        Aunt
5348                                               कालाशो                                                       Kajal
5349                                            करेलकांति                                                   Chameleon
5350                                                कसानो                                                     Utensil
5351                                                खांचा                                                         mud
5352                                              खासोतनी                                                     Itching
5353                                                  खाज                                                     Itching
5354                                                 खाती                                                        Cot 
5355                                                 खुता                                                        hope
5356                                               किवाडी                                                        Door
5357                                               कूट्रु                                                         Dog
5358                                                कुंडी                                                      Darwja
5359                                                कुंडा                                                      Darwja
5360                                                लप्सी                                                        Dish
5361                                                लातूर                                                       Hairs
5362                                                 लाटे                                                     Clothes
5363                                                लीटर                                                         Seet
5364                                               लिहाफ़                                                       Quilt
5365                                                 लंदन                                                      London
5366                                                 मीहो                                                        Rain
5367                                            मुह दिखाई                                                  face shown
5368                                               मुंजिक                                                       miser
5369                                                 नाहु                                                       Nails
5370                                               नारिया                                                          Ox
5371                                                  ओले                                                       Hails
5372                                                  ऊटी                                                     Naughty
5373                                               पादकला                                                   Staircase
5374                                                 राचो                                                     Things.
5375                                                 रासा                                                        rope
5376                                                 रासी                                                        rope
5377                                                  रीत                                                       Snort
5378                                                  साग                                                   Vegetable
5379                                                 सकली                                                    Door nob
5380                                                 साँप                                                       Snake
5381                                                सागाई                                                  engagement
5382                                                  सउद                                                       Quilt
5383                                               श्याना                                                     Clever 
5384                                               सुथानी                                                      shorts
5385                                                 थूडी                                                        Chin
5386                                               टूकानि                                                      Shiny 
5387                                               ट्यूबल                                                    Tubewell
5388                                                 यादी                                                      Friend
5389                                                 दुरू                                                        Away
5390                                                पिचहे                                                        Back
5391                                                बुरा                                                          Bad
5392                                             प्रतिबंध                                                         Ban
5393                                              क्योंकि                                                     Because
5394                                                 होना                                                      Become
5395                                               बिस्तर                                                         Bed
5396                                              के पहले                                                      Before
5397                                            शुरुकर्ण:                                                       Begin
5398                                                  ताक                                                       Below
5399                                           के बिच में                                                     Between
5400                                                 बारा                                                         Big
5401                                               पुस्तक                                                        Book
5402                                                 डोनो                                                        Both
5403                                                 लरका                                                         Boy
5404                                                 लाना                                                       Bring
5405                                               परांतु                                                         But
5406                                                लेकिन                                                         But
5407                                                द्वार                                                          By
5408                                               बुलाना                                                        Call
5409                                                 सकना                                                         Can
5410                                              कनास्टर                                                    Canister
5411                                                   कर                                                         Car
5412                                              ले जाना                                                       Carry
5413                                               बदलाना                                                      Change
5414                                                बच्चे                                                    Children
5415                                                  शहर                                                        City
5416                                                 बैंड                                                       Close
5417                                                ठंडा:                                                        Cold
5418                                                 आना:                                                        Come
5419                                                   कफ                                                       cough
5420                                                  देश                                                     country
5421                                                 कटना                                                         cut
5422                                                दैनिक                                                       daily
5423                                                  शोर                                                         day
5424                                               भिन्नी                                                   different
5425                                                 कर्ण                                                          do
5426                                               दरवाजा                                                        door
5427                                                  ताक                                                        down
5428                                                चींटी                                                         end
5429                                              पर्यपति                                                      enough
5430                                             प्रत्यय:                                                       every
5431                                            उड़ानारणी                                                     example
5432                                                  आंख                                                         eye
5433                                                चेहरा                                                        face
5434                                               परिवार                                                      family
5435                                            अरबी रोटी                                                      father
5436                                                जोड़ा                                                        foot
5437                                               कुछ तो                                                         few
5438                                                 पाना                                                        find
5439                                               प्रथम:                                                       first
5440                                         अनुकर्ण करना                                                      follow
5441                                                 भोजन                                                        food
5442                                              के लिये                                                         for
5443                                                  रूप                                                        form
5444                                                   से                                                        from
5445                                                 पाना                                                         get
5446                                               लार्की                                                        girl
5447                                                 देना                                                        give
5448                                                  जना                                                          go
5449                                               अच्छा:                                                        good
5450                                                 महान                                                       great
5451                                                समुहू                                                       group
5452                                                 बदना                                                        grow
5453                                                 हाथो                                                        hand
5454                                                कैथिन                                                        hard
5455                                                  हाय                                                         has
5456                                                  वही                                                          he
5457                                                महोदय                                                        head
5458                                               सुनाना                                                        hear
5459                                            मदद करना:                                                        help
5460                                               याहानी                                                        here
5461                                                 ऊंचा                                                        high
5462                                                 गरमी                                                         hot
5463                                                  घरो                                                       house
5464                                                 कैसे                                                         how
5465                                                  माई                                                           I
5466                                                विचार                                                        Idea
5467                                                 यादी                                                          If
5468                                          महात्वपूर्ण                                                   Important
5469                                                 मुझे                                                          In
5470                                                  हाय                                                          Is
5471                                               वास्तु                                                        Item
5472                                                 केवल                                                        Just
5473                                                 रखना                                                        Keep
5474                                                दयालू                                                        Kind
5475                                                जनाना                                                        Know
5476                                                 भूमि                                                        Land
5477                                                विशाल                                                       Large
5478                                               एंटिमो                                                        Last
5479                                                छोडना                                                       Leave
5480                                                बाएने                                                        Left
5481                                                  चलो                                                         Let
5482                                               पात्रा                                                      Letter
5483                                               चिट्ठी                                                      Letter
5484                                                 जीवन                                                        Life
5485                                               जिंदगी                                                        Life
5486                                              प्रकाश:                                                       Light
5487                                                 पसंद                                                        Like
5488                                                 रेखा                                                        Line
5489                                                 सुची                                                        List
5490                                                 जीना                                                        Live
5491                                                लांबा                                                        Long
5492                                                 नज़र                                                        Look
5493                                                  रूप                                                        Look
5494                                                 खोना                                                        Lose
5495                                                 मुखी                                                        Main
5496                                               प्रधान                                                        Main
5497                                                 केला                                                        Make
5498                                                 अनेक                                                        Many
5499                                                बहुतो                                                        Many
5500                                                मिलना                                                        Meet
5501                                                 मध्य                                                         Mid
5502                                                  दुध                                                        Milk
5503                                                  गलत                                                     Mistake
5504                                                 अधिक                                                        More
5505                                                ज्यदा                                                        More
5506                                                सुभाह                                                     Morning
5507                                                  मां                                                      Mother
5508                                               पहाड़ो                                                    Mountain
5509                                                 चलना                                                        Move
5510                                                 बहुत                                                        Much
5511                                                 मेरा                                                          My
5512                                            का नाम ले                                                        name
5513                                               रास्ता                                                        near
5514                                                जरूरत                                                        need
5515                                        तुकीतजावे से?                                       Where are you going ?
5516                                        तू के करे से?                                         What are you doing?
5517                                      के नाम से तेरा?                                          What is your name?
5518                                        के ख़यातन्ने?                                           What did you eat?
5519                                     के चाल्रह्या से?                                            What's going on?
5520                                           मन्ने कोनी                                               I don't know.
5521                                         के चक्करहाई?                                       What is your problem?
5522                                       किट का से तुम?                              What's the name of your place?
